#Enzyme ID	Reversibility	ΔrG'm (kJ/mol)	Substrates	Products	Substrate Km (mM)	Product Km (mM)	kcat (1/s)	Enzyme MW (kDa)
RuBisCO	0	-34.7	RuBP;CO2	2G3P	0.08(0.019,0.105);0.67(0.529,0.85)		11.6(3.5,14.28)	70
PGK	1	18.7	G3P;ATP	BGP;ADP	0.18;0.19	;		41.7
GAPDH	1	-19.3	BGP;NADPH	GAP;Pi;NADP	;	;;		36.5
TPI	1	-5.5	GAP	DHAP				26.1
FBA	1	-4.6	GAP;DHAP	FBP	;	0.008(0.007,0.16)		40
FBPase	0	-26.3	FBP	F6P;Pi	0.052(0.025,0.057)	;	10.5	40
TKT1	1	10.1	F6P;GAP	E4P;X5P	;	;		75.1
SBA	1	3	E4P;DHAP	SBP	;	0.047(0.008,10)		40
SBPase	0	-33.2	SBP	S7P;Pi	0.24	;	4.2	44
TKT2	1	3.9	GAP;S7P	R5P;X5P	;	;		75.1
RPE	1	3.4	X5P	Ru5P				25
RPI	1	2	R5P	Ru5P				25
PRK	0	-22.7	Ru5P;ATP	RuBP;ADP	0.28(0.27,0.29);0.36(0.09,1.42)	;		43.5
